日期,订单编号,门店所在城市,门店名称,门店id,订单序号,下单时间,完成时间,配送时长,订单状态,是否预订单,是否到店自取,商品信息,活动信息,配送类型,是否部分退款,是否全额退款,顾客实付,商品原价,配送费,包装费,活动补贴(平台+商家),商家活动支出,是否商责取消,商责取消原因,是否配送延迟,是否有效配送信息回传,配送信息回传无效原因
20221212,ID:900324681303942280,东莞,沙拉食刻（松山湖1分店）,14764991,30,2022-12-12 11:22:47,2022-12-12 12:06:51,15,已完成,否,否,"奥尔良鸡胸肉谷物饭+果蔬沙拉(焙煎芝麻汁,焙煎芝麻汁),单价16.9*数量1",用户使用了支付红包减1.6元[新美大承担:1.6元]/购买奥尔良鸡胸肉谷物饭+果蔬沙拉原价17.7元现价16.9元[新美大承担:0.8元],美团快送,否,否,15.3,17.7,0.0,0.0,2.4,0.0,否,,否,,
20221212,ID:900324680929891441,东莞,沙拉食刻（松山湖1分店）,14764991,31,2022-12-12 11:22:58,2022-12-12 12:12:14,20,已完成,否,否,"蜜汁鸡胸肉荞麦面+果蔬沙拉(蒜香海鲜汁,蒜香海鲜汁),单价16.8*数量1",购买蜜汁鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元]/用户使用了支付红包减1.6元[新美大承担:1.6元],美团快送,否,否,15.2,17.7,0.0,0.0,2.5,0.0,否,,否,,
20221212,ID:900324680242760143,东莞,沙拉食刻（松山湖1分店）,14764991,32,2022-12-12 11:26:16,2022-12-12 11:49:45,18,已完成,否,否,"黑椒鸡腿扒荞麦面果蔬沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价22.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/购买黑椒鸡腿扒荞麦面果蔬沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,17.8,35.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324684001780317,东莞,沙拉食刻（松山湖1分店）,14764991,33,2022-12-12 11:27:07,2022-12-12 12:14:22,27,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,黑椒酱),单价25.0*数量2",用户使用了会员红包减5元[新美大承担:5.0元]/满35.0元减11.0元[商家承担:11.0元]/减配送费2.6元[商家承担:2.6元],美团快送,是,是,36.0,50.0,4.6,0.0,18.6,13.6,否,,否,,
20221212,ID:900324683548551094,东莞,沙拉食刻（松山湖1分店）,14764991,34,2022-12-12 11:27:13,2022-12-12 12:10:14,4,已完成,否,否,"蜜汁鸡胸肉荞麦面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买蜜汁鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324683164875212,东莞,沙拉食刻（松山湖1分店）,14764991,35,2022-12-12 11:28:56,2022-12-12 12:03:43,2,已完成,否,否,"黑椒鸡腿扒荞麦面果蔬沙拉套餐(545克,蒜香海鲜汁,凯撒汁),单价22.8*数量1",购买黑椒鸡腿扒荞麦面果蔬沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,22.8,35.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324691734274296,东莞,沙拉食刻（松山湖1分店）,14764991,36,2022-12-12 11:30:27,2022-12-12 11:46:08,4,已完成,否,否,"香菇藤椒鸡胸肉南瓜面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买香菇藤椒鸡胸肉南瓜面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324693215238707,东莞,沙拉食刻（松山湖1分店）,14764991,38,2022-12-12 11:32:58,2022-12-12 11:57:50,15,已完成,否,否,"黑椒鸡腿扒谷物饭+紫薯球果蔬沙拉(545克,黑椒汁,油醋汁),单价22.8*数量1",购买黑椒鸡腿扒谷物饭+紫薯球果蔬沙拉原价35.0元现价22.8元[商家承担:12.2元]/用户使用了会员红包减5元[新美大承担:5.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,17.8,35.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324693755908307,东莞,沙拉食刻（松山湖1分店）,14764991,39,2022-12-12 11:35:09,2022-12-12 11:50:59,9,已完成,否,否,"黑椒鸡腿扒荞麦面+紫薯球果蔬沙拉(545克,蒜香海鲜汁,凯撒汁),单价22.8*数量1",减配送费2.6元[商家承担:2.6元]/购买黑椒鸡腿扒荞麦面+紫薯球果蔬沙拉原价35.0元现价22.8元[商家承担:12.2元]/门店新客立减3.0元[商家承担:3.0元],美团快送,否,否,20.6,35.0,3.4,0.0,17.8,17.8,否,,否,,
20221212,ID:900324690911797748,东莞,沙拉食刻（松山湖1分店）,14764991,41,2022-12-12 11:36:57,2022-12-12 12:13:33,3,已完成,否,否,"奥尔良鸡胸肉荞麦面沙拉套餐(545克,焙煎芝麻汁,油醋汁),单价21.8*数量1",减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元]/购买奥尔良鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元],美团快送,否,否,16.8,34.0,2.6,0.0,19.8,14.8,否,,否,,
